,Pclass,Survived
0,3,0
2,3,1
4,3,0
5,3,0
7,3,0
8,3,1
10,3,1
12,3,0
13,3,0
14,3,0
16,3,0
18,3,0
19,3,1
22,3,1
24,3,0
25,3,1
26,3,0
28,3,1
29,3,0
32,3,1
36,3,1
37,3,0
38,3,0
39,3,1
40,3,0
42,3,0
44,3,1
45,3,0
46,3,0
47,3,1
48,3,0
49,3,0
50,3,0
51,3,0
57,3,0
59,3,0
60,3,0
63,3,0
65,3,1
67,3,0
68,3,1
69,3,0
71,3,0
73,3,0
74,3,1
75,3,0
76,3,0
77,3,0
79,3,1
80,3,0
81,3,1
82,3,1
85,3,1
86,3,0
87,3,0
89,3,0
90,3,0
91,3,0
93,3,0
94,3,0
95,3,0
100,3,0
101,3,0
103,3,0
104,3,0
105,3,0
106,3,1
107,3,1
108,3,0
109,3,1
111,3,0
112,3,0
113,3,0
114,3,0
115,3,0
116,3,0
119,3,0
121,3,0
125,3,1
126,3,0
127,3,1
128,3,1
129,3,0
130,3,0
131,3,0
132,3,0
138,3,0
140,3,0
141,3,1
142,3,1
143,3,0
146,3,1
147,3,0
152,3,0
153,3,0
154,3,0
156,3,1
157,3,0
158,3,0
159,3,0
160,3,0
162,3,0
163,3,0
164,3,0
165,3,1
167,3,0
169,3,0
171,3,0
172,3,1
173,3,0
175,3,0
176,3,0
179,3,0
180,3,0
182,3,0
184,3,1
186,3,1
188,3,0
189,3,0
192,3,1
196,3,0
197,3,0
198,3,1
200,3,0
201,3,0
202,3,0
203,3,0
204,3,1
205,3,0
206,3,0
207,3,1
208,3,1
210,3,0
212,3,0
214,3,0
216,3,1
220,3,1
222,3,0
223,3,0
225,3,0
227,3,0
229,3,0
231,3,0
233,3,1
235,3,0
240,3,0
241,3,1
243,3,0
244,3,0
246,3,0
250,3,0
251,3,0
253,3,0
254,3,0
255,3,1
260,3,0
261,3,1
264,3,0
266,3,0
267,3,1
271,3,1
274,3,1
276,3,0
278,3,0
279,3,1
280,3,0
281,3,0
282,3,0
283,3,1
285,3,0
286,3,1
287,3,0
289,3,1
293,3,0
294,3,0
296,3,0
300,3,1
301,3,1
302,3,0
304,3,0
313,3,0
315,3,1
320,3,0
321,3,0
324,3,0
326,3,0
328,3,1
330,3,1
333,3,0
335,3,0
338,3,1
347,3,1
348,3,1
349,3,0
350,3,0
352,3,0
353,3,0
354,3,0
355,3,0
358,3,1
359,3,1
360,3,0
362,3,0
363,3,0
364,3,0
365,3,0
367,3,1
368,3,1
371,3,0
372,3,0
374,3,0
376,3,1
378,3,0
379,3,0
381,3,1
382,3,0
384,3,0
386,3,0
388,3,0
391,3,1
392,3,0
394,3,1
395,3,0
396,3,0
400,3,1
401,3,0
402,3,0
403,3,0
404,3,0
406,3,0
408,3,0
409,3,0
410,3,0
411,3,0
414,3,1
415,3,0
419,3,0
420,3,0
421,3,0
422,3,0
423,3,0
424,3,0
425,3,0
428,3,0
429,3,1
431,3,1
433,3,0
436,3,0
441,3,0
442,3,0
444,3,1
448,3,1
451,3,0
454,3,0
455,3,1
459,3,0
461,3,0
464,3,0
465,3,0
468,3,0
469,3,1
470,3,0
471,3,0
474,3,0
477,3,0
478,3,0
479,3,1
480,3,0
482,3,0
483,3,1
485,3,0
488,3,0
489,3,1
490,3,0
491,3,0
494,3,0
495,3,0
497,3,0
499,3,0
500,3,0
501,3,0
502,3,0
503,3,0
508,3,0
509,3,1
510,3,1
511,3,0
514,3,0
517,3,0
519,3,0
521,3,0
522,3,0
524,3,0
525,3,0
528,3,0
531,3,0
532,3,0
533,3,1
534,3,0
538,3,0
541,3,0
542,3,0
548,3,0
552,3,0
553,3,1
554,3,1
559,3,1
560,3,0
561,3,0
563,3,0
564,3,0
565,3,0
566,3,0
567,3,0
568,3,0
569,3,1
573,3,1
574,3,0
575,3,0
578,3,0
579,3,1
584,3,0
588,3,0
589,3,0
590,3,0
592,3,0
593,3,0
595,3,0
597,3,0
598,3,0
601,3,0
603,3,0
605,3,0
606,3,0
610,3,0
611,3,0
612,3,1
613,3,0
614,3,0
616,3,0
617,3,0
620,3,0
622,3,1
623,3,0
624,3,0
628,3,0
629,3,0
631,3,0
634,3,0
636,3,0
638,3,0
639,3,0
640,3,0
642,3,0
643,3,1
644,3,1
646,3,0
648,3,0
649,3,1
650,3,0
652,3,0
653,3,1
654,3,0
656,3,0
657,3,0
661,3,0
663,3,0
664,3,1
667,3,0
668,3,0
675,3,0
676,3,0
677,3,1
678,3,0
680,3,0
682,3,0
683,3,0
686,3,0
687,3,0
688,3,0
691,3,1
692,3,1
693,3,0
696,3,0
697,3,1
699,3,0
702,3,0
703,3,0
704,3,0
709,3,1
713,3,0
715,3,0
718,3,0
719,3,0
721,3,0
725,3,0
727,3,1
729,3,0
731,3,0
735,3,0
736,3,0
738,3,0
739,3,0
743,3,0
744,3,1
746,3,0
749,3,0
751,3,1
752,3,0
753,3,0
756,3,0
758,3,0
760,3,0
761,3,0
762,3,1
764,3,0
767,3,0
768,3,0
769,3,0
770,3,0
771,3,0
773,3,0
775,3,0
776,3,0
777,3,1
778,3,0
780,3,1
783,3,0
784,3,0
785,3,0
786,3,1
787,3,0
788,3,1
790,3,0
792,3,0
794,3,0
797,3,1
798,3,0
799,3,0
803,3,1
804,3,1
805,3,0
807,3,0
810,3,0
811,3,0
813,3,0
814,3,0
816,3,0
818,3,0
819,3,0
821,3,1
823,3,1
824,3,0
825,3,0
826,3,0
828,3,1
830,3,1
832,3,0
833,3,0
834,3,0
836,3,0
837,3,0
838,3,1
840,3,0
843,3,0
844,3,0
845,3,0
846,3,0
847,3,0
850,3,0
851,3,0
852,3,0
855,3,1
858,3,1
859,3,0
860,3,0
863,3,0
868,3,0
869,3,1
870,3,0
873,3,0
875,3,1
876,3,0
877,3,0
878,3,0
881,3,0
882,3,0
884,3,0
885,3,0
888,3,0
890,3,0
